,City,Latitude,Longitude,Max_temp,Humidity,Clouds,Wind_speed,Country,Date
411,cabuyaro,4.2817,-72.794,82.42,55,86,6.2,CO,1612151798
412,bartica,6.4,-58.6167,73.4,94,20,4.61,GY,1612151798
413,vila,42.0304,-8.1588,51.01,91,100,15.99,PT,1612151798
414,cape%20town,-33.9258,18.4232,64.0,72,0,21.85,ZA,1612151454
415,cape%20town,-33.9258,18.4232,64.0,72,0,21.85,ZA,1612151454
416,nyurba,63.2842,118.3319,-37.48,81,93,4.83,RU,1612151799
417,dabhol,17.6,73.1667,80.85,37,2,5.1,IN,1612151799
418,lakselv,70.0513,24.9718,21.2,93,90,4.61,NO,1612151799
419,tucuman,-26.8241,-65.2226,66.2,100,90,5.75,AR,1612151799
420,punta%20arenas,-53.15,-70.9167,53.6,62,90,29.93,CL,1612151626
421,punta%20arenas,-53.15,-70.9167,53.6,62,90,29.93,CL,1612151626
422,vila%20velha,-20.3297,-40.2925,78.01,83,40,6.91,BR,1612151608
423,new%20norfolk,-42.7826,147.0587,72.0,56,75,12.66,AU,1612151730
424,yichun,47.7,128.9,-5.84,89,100,7.27,CN,1612151800
425,mar%20del%20plata,-38.0023,-57.5575,64.0,72,75,11.5,AR,1612151713
426,porto%20novo,6.4965,2.6036,82.4,89,40,2.3,BJ,1612151800
427,beyneu,45.3167,55.2,34.75,89,0,7.0,KZ,1612151800
428,palana,59.1167,159.9667,-3.44,95,100,30.94,RU,1612151800
429,banff,51.1762,-115.5698,35.6,93,98,4.61,CA,1612151801
430,gat,31.61,34.7642,48.99,100,0,4.0,IL,1612151801
431,sao%20filipe,14.8961,-24.4956,71.51,75,0,6.93,CV,1612151801
432,natal,-5.795,-35.2094,80.6,83,40,5.75,BR,1612151801
433,puerto%20ayora,-0.7393,-90.3518,78.01,91,36,3.0,EC,1612151735
434,pauini,-7.7136,-66.9764,73.17,97,91,0.47,BR,1612151801
435,manakara,-22.1333,48.0167,79.75,82,0,2.77,MG,1612151505
436,barra,-11.0894,-43.1417,77.11,67,7,9.22,BR,1612151801
437,lodja,-3.4833,23.4333,68.25,91,100,2.19,CD,1612151802
438,new%20norfolk,-42.7826,147.0587,72.0,56,75,12.66,AU,1612151730
439,kimbe,-5.5502,150.1429,85.82,67,70,7.16,PG,1612151802
440,punta%20arenas,-53.15,-70.9167,53.6,62,90,29.93,CL,1612151626
441,kuala%20lipis,4.1842,102.0468,86.94,60,86,1.79,MY,1612151802
442,novo%20aripuana,-5.1206,-60.3797,74.34,94,17,0.11,BR,1612151576
443,punta%20arenas,-53.15,-70.9167,53.6,62,90,29.93,CL,1612151626
444,port%20hedland,-20.3167,118.5667,78.8,100,90,23.02,AU,1612151749
445,cape%20town,-33.9258,18.4232,64.0,72,0,21.85,ZA,1612151454
446,san%20rafael%20del%20sur,11.8485,-86.4384,80.6,69,40,4.61,NI,1612151774
447,vanimo,-2.6741,141.3028,78.24,88,100,8.21,PG,1612151572
448,muisne,0.6,-80.0333,77.68,87,91,1.05,EC,1612151803
449,luangwa,-15.6167,30.4167,72.28,94,100,2.08,ZM,1612151803
450,kitangari,-10.65,39.3333,69.35,96,100,3.87,TZ,1612151803
451,butig,7.7244,124.3008,75.99,77,100,3.18,PH,1612151803
452,vilhena,-12.7406,-60.1458,70.41,94,73,0.81,BR,1612151803
453,umarkhed,19.6,77.7,66.2,59,0,1.14,IN,1612151804
454,giddalur,15.35,78.9167,77.11,62,9,8.23,IN,1612151804
455,new%20norfolk,-42.7826,147.0587,72.0,56,75,12.66,AU,1612151730
456,sao%20joao%20da%20barra,-21.6403,-41.0511,76.95,82,82,19.66,BR,1612151771
457,shingu,33.7333,135.9833,57.2,58,75,14.97,JP,1612151805
458,derbent,42.0678,48.2899,41.97,81,21,2.91,RU,1612151805
459,soyo,-6.1349,12.3689,79.12,85,96,6.44,AO,1612151657
460,sioux%20lookout,50.1001,-91.917,24.8,93,90,4.61,CA,1612151805
461,east%20london,-33.0153,27.9116,66.2,94,75,19.57,ZA,1612151775
462,clyde%20river,70.4692,-68.5914,-4.0,84,90,23.02,CA,1612151805
463,itarema,-2.9248,-39.9167,80.02,82,95,12.62,BR,1612151805
464,san%20patricio,28.017,-97.5169,59.0,44,1,9.22,US,1612151778
465,taoudenni,22.6783,-3.9836,65.3,25,8,8.3,ML,1612151806
466,naco,31.3347,-109.9483,48.0,53,99,1.99,MX,1612151806
467,port%20hardy,50.6996,-127.4199,42.8,100,90,4.61,CA,1612151806
468,myaundzha,63.0494,147.1858,-20.25,84,100,6.11,RU,1612151806
469,yar-sale,66.8333,70.8333,-11.13,90,100,8.72,RU,1612151564
470,punta%20arenas,-53.15,-70.9167,53.6,62,90,29.93,CL,1612151626
471,hurghada,27.2574,33.8129,57.2,44,0,6.91,EG,1612151683
472,san%20cristobal,7.7669,-72.225,66.52,72,98,2.53,VE,1612151773
473,havoysund,70.9963,24.6622,26.6,93,75,10.36,NO,1612151807
474,bakchar,57.0186,82.0711,-9.33,86,87,2.59,RU,1612151807
475,orlik,52.5178,99.825,-13.68,72,0,2.35,RU,1612151807
